area_code,area_name,inner_outer_london,population_estimate_2015,price_2014,price_2024,cagr_10yr,total_crimes_2020_2024,avg_annual_crimes,growth_score,safety_score,afford_score,investment_score,signal
E09000002,Barking and Dagenham,Outer London,203600,184883.6549,322220.0,0.05712269716672047,78906.0,19726.5,93.97443758148474,85.6420971007625,100.0,93.28240416282264,BUY
E09000004,Bexley,Outer London,240600,224320.5222,391782.0,0.057347023756541216,63033.0,15758.25,94.33948347748372,92.48007581958385,92.05032061794523,93.09491232225221,BUY
E09000016,Havering,Outer London,247700,238219.84,419290.0,0.05816564555882997,75740.0,18935.0,95.6716239497282,87.0059880239521,88.906653379488,91.0424420009233,BUY
E09000031,Waltham Forest,Outer London,273900,279085.1605,503705.0,0.060825502441105295,91239.0,22809.75,100.0,80.32912592082023,79.2595445408095,87.87660113848892,BUY
E09000029,Sutton,Outer London,201200,269434.06,420223.0,0.04544871308462617,52096.0,13024.0,74.97740302338222,97.19165984577607,88.80002834191781,85.78846766566105,BUY
E09000026,Redbridge,Outer London,297400,289684.2175,478234.0,0.05140868816442379,95986.0,23996.5,84.67605018275314,78.28415112221599,82.17041949466818,82.00679125816652,HOLD
E09000025,Newham,Inner London,332600,234333.8315,399951.0,0.05491429963759953,140531.0,35132.75,90.38071979981612,59.09447292465428,91.11675155909118,81.21565526505009,HOLD
E09000011,Greenwich,Outer London,273000,276452.4436,449502.0,0.04981100122395388,105579.0,26394.75,82.07613966311406,74.15155300908974,85.45396781135254,80.7121121113783,HOLD
E09000006,Bromley,Outer London,324600,315709.3226,504764.0,0.048045401314020575,91120.0,22780.0,79.20298493984942,80.38039029853962,79.13851998048065,79.53686705964584,HOLD
E09000017,Hillingdon,Outer London,296500,282891.8242,442267.0,0.045698328758187357,101732.0,25433.0,75.38360175926701,75.80881402662301,86.28079755070974,78.78032417690662,HOLD
E09000015,Harrow,Outer London,249800,338589.7583,502774.0,0.04032707020271409,60836.0,15209.0,66.64297099591549,93.42652823848705,79.36594101452637,78.49492917427023,HOLD
E09000021,Kingston upon Thames,Outer London,170900,369306.4988,541019.0,0.03892107618208196,45577.0,11394.25,64.3550017121984,100.0,74.9952287295621,78.24056930374799,HOLD
E09000024,Merton,Outer London,208500,377855.2229,566968.0,0.04141376044512435,54468.0,13617.0,68.41133832825444,96.16981863610907,72.0297270147618,77.82439902656304,HOLD
E09000010,Enfield,Outer London,329000,273452.4453,430369.0,0.04639562928714169,116697.0,29174.25,76.51831653639667,69.36199543359325,87.64052391406456,77.70808241885601,HOLD
E09000008,Croydon,Outer London,380700,249311.3596,392498.0,0.046428448757193985,132363.0,33090.75,76.57172354829402,62.613190884418216,91.96849475845943,77.0031951121809,HOLD
E09000018,Hounslow,Outer London,271800,302920.1346,460910.0,0.04286669720284664,99579.0,24894.75,70.77569736824348,76.73631154956274,84.15023959205924,76.57624428978399,HOLD
E09000023,Lewisham,Inner London,294100,289573.5186,435010.0,0.04153541025936036,112457.0,28114.25,68.60929865686008,71.1885581355275,87.1101414924534,74.9333293511383,HOLD
E09000027,Richmond upon Thames,Outer London,196200,512941.7206,747929.0,0.03843480259630683,46694.0,11673.5,63.56369036136046,99.51880411838194,51.349155285139126,70.6858639656005,HOLD
E09000005,Brent,Outer London,325300,365189.8763,532273.0,0.0383925670116636,118577.0,29644.25,63.4949605382421,68.55210442424503,75.99473846009676,68.76203708059938,HOLD
E09000003,Barnet,Outer London,383100,398384.3422,579029.0,0.038101468629406554,110184.0,27546.0,63.021257131705255,72.1677508292767,70.65137269736202,68.05423991067372,HOLD
E09000009,Ealing,Outer London,349700,364513.952,515353.0,0.0352352830432916,118417.0,29604.25,58.35712308402604,68.62103131865764,77.92838865911872,67.30767522694333,HOLD
E09000014,Haringey,Inner London,271000,402645.5793,579451.0,0.03707312060910217,114827.0,28706.75,61.34782989880003,70.16757851204066,70.60314572431314,66.77034923042615,HOLD
E09000012,Hackney,Inner London,265300,415052.7462,597973.0,0.037188823625999845,126225.0,31556.25,61.53611302434011,65.25739887132211,68.48641587878802,64.73758963476908,HOLD
E09000030,Tower Hamlets,Inner London,287100,355235.4444,480719.0,0.030712396911835915,133304.0,33326.0,50.997045878386075,62.20781458665403,81.88642890692765,63.627091399428934,HOLD
E09000022,Lambeth,Inner London,322000,395103.7927,515515.0,0.026958776515323635,133395.0,33348.75,44.88879218460942,62.168612415456856,77.90987498700042,59.97906309458095,HOLD
E09000028,Southwark,Inner London,306700,396213.3041,514320.0,0.026432597307244787,137276.0,34319.0,44.03254255043692,60.496704432860895,78.04644188935453,59.17596091683939,HOLD
E09000032,Wandsworth,Inner London,318000,497300.3039,612612.0,0.021072729870082352,101676.0,25419.0,35.310448515136805,75.83293843966743,66.81344275446871,56.91809376429556,HOLD
E09000019,Islington,Inner London,224600,548118.5877,659560.0,0.01868046513206778,106923.0,26730.75,31.41752425032661,73.57256709602377,61.44813486181601,53.073220287482584,AVOID
E09000013,Hammersmith and Fulham,Inner London,181700,666571.5738,724641.0,0.008387866508694497,80750.0,20187.5,14.668413546911726,84.84771464265714,54.01055279310742,47.524845649494054,AVOID
E09000007,Camden,Inner London,237400,695470.3561,797248.0,0.0137514339264182,135780.0,33945.0,23.396528547984314,61.141170895618835,45.712884944384705,41.414828171194785,AVOID
E09000020,Kensington and Chelsea,Inner London,156100,1204770.976,1197249.0,-0.000626110158689519,81747.0,20436.75,0.0,84.41821393184853,0.0,25.325464179554558,AVOID
E09000033,Westminster,Inner London,235000,855066.8715,936715.0,0.009161652919407182,277707.0,69426.75,15.92759353906586,0.0,29.77432747943211,15.303335659455978,AVOID
