area_code,area_name,inner_outer_london,population_estimate_2015,price_2014,price_2024,cagr_10yr,total_crimes_2020_2024,avg_annual_crimes
E09000002,Barking and Dagenham,Outer London,203600,184883.6549,322220.0,0.05712269716672047,78906.0,19726.5
E09000003,Barnet,Outer London,383100,398384.3422,579029.0,0.038101468629406554,110184.0,27546.0
E09000004,Bexley,Outer London,240600,224320.5222,391782.0,0.057347023756541216,63033.0,15758.25
E09000005,Brent,Outer London,325300,365189.8763,532273.0,0.0383925670116636,118577.0,29644.25
E09000006,Bromley,Outer London,324600,315709.3226,504764.0,0.048045401314020575,91120.0,22780.0
E09000007,Camden,Inner London,237400,695470.3561,797248.0,0.0137514339264182,135780.0,33945.0
E09000008,Croydon,Outer London,380700,249311.3596,392498.0,0.046428448757193985,132363.0,33090.75
E09000009,Ealing,Outer London,349700,364513.952,515353.0,0.0352352830432916,118417.0,29604.25
E09000010,Enfield,Outer London,329000,273452.4453,430369.0,0.04639562928714169,116697.0,29174.25
E09000011,Greenwich,Outer London,273000,276452.4436,449502.0,0.04981100122395388,105579.0,26394.75
E09000012,Hackney,Inner London,265300,415052.7462,597973.0,0.037188823625999845,126225.0,31556.25
E09000013,Hammersmith and Fulham,Inner London,181700,666571.5738,724641.0,0.008387866508694497,80750.0,20187.5
E09000014,Haringey,Inner London,271000,402645.5793,579451.0,0.03707312060910217,114827.0,28706.75
E09000015,Harrow,Outer London,249800,338589.7583,502774.0,0.04032707020271409,60836.0,15209.0
E09000016,Havering,Outer London,247700,238219.84,419290.0,0.05816564555882997,75740.0,18935.0
E09000017,Hillingdon,Outer London,296500,282891.8242,442267.0,0.045698328758187357,101732.0,25433.0
E09000018,Hounslow,Outer London,271800,302920.1346,460910.0,0.04286669720284664,99579.0,24894.75
E09000019,Islington,Inner London,224600,548118.5877,659560.0,0.01868046513206778,106923.0,26730.75
E09000020,Kensington and Chelsea,Inner London,156100,1204770.976,1197249.0,-0.000626110158689519,81747.0,20436.75
E09000021,Kingston upon Thames,Outer London,170900,369306.4988,541019.0,0.03892107618208196,45577.0,11394.25
E09000022,Lambeth,Inner London,322000,395103.7927,515515.0,0.026958776515323635,133395.0,33348.75
E09000023,Lewisham,Inner London,294100,289573.5186,435010.0,0.04153541025936036,112457.0,28114.25
E09000024,Merton,Outer London,208500,377855.2229,566968.0,0.04141376044512435,54468.0,13617.0
E09000025,Newham,Inner London,332600,234333.8315,399951.0,0.05491429963759953,140531.0,35132.75
E09000026,Redbridge,Outer London,297400,289684.2175,478234.0,0.05140868816442379,95986.0,23996.5
E09000027,Richmond upon Thames,Outer London,196200,512941.7206,747929.0,0.03843480259630683,46694.0,11673.5
E09000028,Southwark,Inner London,306700,396213.3041,514320.0,0.026432597307244787,137276.0,34319.0
E09000029,Sutton,Outer London,201200,269434.06,420223.0,0.04544871308462617,52096.0,13024.0
E09000030,Tower Hamlets,Inner London,287100,355235.4444,480719.0,0.030712396911835915,133304.0,33326.0
E09000031,Waltham Forest,Outer London,273900,279085.1605,503705.0,0.060825502441105295,91239.0,22809.75
E09000032,Wandsworth,Inner London,318000,497300.3039,612612.0,0.021072729870082352,101676.0,25419.0
E09000033,Westminster,Inner London,235000,855066.8715,936715.0,0.009161652919407182,277707.0,69426.75
